You|ඔබ
I|මම
Here|මෙතන
We|අප
He|ඔහු
She|ඇය
Live|සජීවි
Study|අධ්‍යයනය කරන්න
Go|යන්න
dog|බල්ලා
cat|බළලා
Ball|පන්දුව
house|නිවස
tree|ගස
run|දුවනවා
jump|පනින්න
happy|සතුටු
sad|දුක
big|ලොකු
small|කුඩා
fast|ඉක්මනින්
slow|මන්දගාමී
red|රතු
blue|නිල්
green|කොළ
yellow|කහ
eat|කනවා
drink|බොනවා
sleep|නිදාගන්නවා
wake|අවදි කරනවා
book|පොත
pen|පෑන
paper|කඩදාසි
chair|පුටුව
table|වගුව
car|මෝටර් රථය
bike|බයිසිකලය
walk|ඇවිදින්න
talk|කතා කරනවා
laugh|හිනා වෙනවා
cry|අඬනවා
smile|සිනහව
frown|රවනවා
door|දොර
window|කවුළුව
computer|පරිගණක
phone|දුරකථන
read|කියවනවා
write|ලියනවා
Sing|ගයනවා
dance|නටනවා
hear|අහන්න
see|බලන්න
touch|ස්පර්ශ කරනවා
taste|රස
smell|සුවඳ
good|යහපත
bad|නරක
right|හරි
wrong|වැරදි
up|දක්වා
down|පහළ
in|තුල
out|පිටතට
on|මත
off|අක්‍රිය
near|අසල
far|දුරින්
there|එතන
now|දැන්
then|ඉන්පසු
day|දවස
night|රෑ
sun|හිරු
moon|සඳ
star|තරුව
sky|අහස
cloud|වලාකුළු
rain|වැස්ස
snow|හිම
wind|සුළඟ
hot|උණුසුම්
cold|සීතලයි
summer|ගිම්හානය
winter|ශීත ඍතුව
spring|වසන්තය
autumn|සරත් ඍතුව
fall|වැටෙනවා
year|අවුරුදු
month|මස
week|සතිය
day|දවස
hour|පැය
minute|මිනිත්තුව
second|තත්පර
yesterday|ඊයේ
today|අද
tomorrow|හෙට
always|සැමවිටම
never|කවදාවත් නෑ
sometimes|සමහර විට
often|බොහෝ විට
rarely|කලාතුරකින්
Quickly|ඉක්මනින්
Slowly|සෙමින්
Loudly|හයියෙන්
Softly|මෘදු ලෙස
Soon|ඉක්මනින්
later|පසු
now|දැන්
then|ඉන්පසු
before|කලින්
after|අනතුරුව
first|පලමු
last|අවසන්
one|එක
two|දෙක
three|තුන
four|සිව්
five|පහ
six|හය
seven|හත
eight|අට
nine|නවය
